ct_registration_number,brand_name,wholesaler_name,wholesaler_credential
LBD.0225259,LICOR 43 ORIGINAL LIQUEUR,BRESCOME BARTON INC,LIW.0000506
LBD.0215443,LOS SUNDAYS JALAPEÑO BLANCO TEQUILA,"EBER-CONNECTICUT, LLC",LIW.0000596
LBD.0205847,PIZZOLATO CABERNET SAUVIGNON IGT VENETO 0288 12.50%,INTERWINE INC,LIW.0000513
LBD.0232050,POSTMARK CABERNET SAUVIGNON PASO ROBLES,"EBER-CONNECTICUT, LLC",LIW.0000596
LBD.0233259,PRESERVATION DISTILLERY POT STILL WHISKEY,MSW CT LLC,LIW.0000775
LBD.0234152,RUBUS RED BLEND VINO DE LA TIERRA DE CASTILLA,F & F DISTRIBUTORS INC,LIW.0000504
LBD.0215062,TEABIRD ORIGINAL HARD SWEET TEA,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
LBD.0215062,TEABIRD ORIGINAL HARD SWEET TEA,HARTFORD DISTRIBUTORS INC,LIW.0000505
LBD.0233260,VERY OLDE ST. NICK PRESERVATION BOURBON WHISKEY SUPER FREAK,MSW CT LLC,LIW.0000775
LBD.0237425,WILLETT DISTILLERY STRAIGHT RYE WHISKEY ESTATE SMALL BATCH 50ML,MSW CT LLC,LIW.0000775
LBD.0237424,WILLETT DISTILLERY STRAIGHT RYE WHISKEY ESTATE SMALL BATCH,MSW CT LLC,LIW.0000775
LBD.0237423,WILLETT DISTILLERY POT STILL RESERVE STRAIGHT BOURBON WHISKEY,MSW CT LLC,LIW.0000775
LBD.0233052,"DOMAINE LES ASTRELLES, BOURGOGNE, PASSE-TOUT-GRAINS LA RIOTTE",BRESCOME BARTON INC,LIW.0000506
LBD.0128591,#ADULTING,G & G BEVERAGE DIST INC,LIW.0000509
LBD.0128591,#ADULTING,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
LBD.0204784,#GVLTAT,F & F DISTRIBUTORS INC,LIW.0000504
LBD.0211940,#LOVEISLOVE,G & G BEVERAGE DIST INC,LIW.0000509
LBD.0211940,#LOVEISLOVE,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
LBD.0215013,'MERICAN MULE LIGHT MOSCOW MULE,STAR DISTRIBUTORS INC,LIW.0000533
LBD.0215011,'MERICAN MULE MEXICAN MULE,STAR DISTRIBUTORS INC,LIW.0000533
LBD.0215009,'MERICAN MULE MOSCOW MULE,STAR DISTRIBUTORS INC,LIW.0000533
LBD.0215012,'MERICAN MULE SOUTHERN MULE,STAR DISTRIBUTORS INC,LIW.0000533
LBD.0215010,'MERICAN MULE TROPICAL MULE,STAR DISTRIBUTORS INC,LIW.0000533
LBD.0185308,(NO) GREEN BEER,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
LBD.0225068,- 196 ZERO SUGAR LEMON VODKA SELTZER,BRESCOME BARTON INC,LIW.0000506
LBD.0232190,-196 GRAPEFRUIT & CHERRY,BRESCOME BARTON INC,LIW.0000506
LBD.0221459,-196 GRAPEFRUIT SELTZER 11PF,BRESCOME BARTON INC,LIW.0000506
LBD.0210321,-196 GRAPEFRUIT VODKA SELTZER,BRESCOME BARTON INC,LIW.0000506
LBD.0223116,-196 LEMON AND LIME VODKA SELTZER,BRESCOME BARTON INC,LIW.0000506
LBD.0223120,-196 LEMON AND RASPBERRY VODKA SELTZER,BRESCOME BARTON INC,LIW.0000506
LBD.0235334,-196 LEMON GREEN TEA,BRESCOME BARTON INC,LIW.0000506
LBD.0221452,-196 LEMON SELTZER 11PF,BRESCOME BARTON INC,LIW.0000506
LBD.0228117,-196 LEMON SELTZER TALL BOY,BRESCOME BARTON INC,LIW.0000506
LBD.0210308,-196 LEMON VODKA SELTZER,BRESCOME BARTON INC,LIW.0000506
LBD.0232191,-196 PEACH & MANGO,BRESCOME BARTON INC,LIW.0000506
LBD.0235335,-196 PEACH GREEN TEA,BRESCOME BARTON INC,LIW.0000506
LBD.0221453,-196 PEACH SELTZER 11PF,BRESCOME BARTON INC,LIW.0000506
LBD.0210315,-196 PEACH VODKA SELTZER,BRESCOME BARTON INC,LIW.0000506
LBD.0232192,-196 STRAWBERRY & KIWI,BRESCOME BARTON INC,LIW.0000506
LBD.0233107,-196 STRAWBERRY & PINEAPPLE VODKA SELTZER TALL BOY,BRESCOME BARTON INC,LIW.0000506
LBD.0223121,-196 STRAWBERRY AND PINEAPPLE VODKA SELTZER,BRESCOME BARTON INC,LIW.0000506
LBD.0223123,-196 STRAWBERRY AND WATERMELON VODKA SELTZER,BRESCOME BARTON INC,LIW.0000506
LBD.0235336,-196 STRAWBERRY GREEN TEA,BRESCOME BARTON INC,LIW.0000506
LBD.0221125,-196 STRAWBERRY SELTZER,BRESCOME BARTON INC,LIW.0000506
LBD.0233145,-196 STRAWBERRY VODKA SELTZER TALL BOY,BRESCOME BARTON INC,LIW.0000506
LBD.0232193,-196 YUZU & LEMON,BRESCOME BARTON INC,LIW.0000506
LBD.0235337,-196 YUZU GREEN TEA,BRESCOME BARTON INC,LIW.0000506
LBD.0144903,///FEAR.MOVIE.LIONS,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
LBD.0220598,00 WINES EGW CHARDONNAY,T EDWARD CONNECTICUT LTD,LIW.0000576
LBD.0220599,00 WINES SEVEN SPRINGS CHARDONNAY,T EDWARD CONNECTICUT LTD,LIW.0000576
LBD.0220600,00 WINES VGR,T EDWARD CONNECTICUT LTD,LIW.0000576
LBD.0185111,00 WINES VGW CHARDONNAY WILLAMETTE VALLEY,T EDWARD CONNECTICUT LTD,LIW.0000576
LBD.0215318,10 BARREL BREWING CO. PUB BEER,DICHELLO DISTRIBUTORS INC,LIW.0000516
LBD.0215318,10 BARREL BREWING CO. PUB BEER,HARTFORD DISTRIBUTORS INC,LIW.0000505
LBD.0215318,10 BARREL BREWING CO. PUB BEER,"LEVINE DISTRIBUTING CO , LLC",LIW.0000527
LBD.0215319,10 BARREL BREWING CO. PUB CERVEZA,"LEVINE DISTRIBUTING CO , LLC",LIW.0000527
LBD.0215319,10 BARREL BREWING CO. PUB CERVEZA,DICHELLO DISTRIBUTORS INC,LIW.0000516
LBD.0215319,10 BARREL BREWING CO. PUB CERVEZA,HARTFORD DISTRIBUTORS INC,LIW.0000505
LBD.0212295,10 BARREL BREWING CO. PUB ICE ORIGINAL,DICHELLO DISTRIBUTORS INC,LIW.0000516
LBD.0212295,10 BARREL BREWING CO. PUB ICE ORIGINAL,HARTFORD DISTRIBUTORS INC,LIW.0000505
LBD.0212295,10 BARREL BREWING CO. PUB ICE ORIGINAL,"LEVINE DISTRIBUTING CO , LLC",LIW.0000527
LBD.0212293,10 BARREL BREWING COMPANY PUB ICE FRUIT PUNCH,DICHELLO DISTRIBUTORS INC,LIW.0000516
LBD.0212293,10 BARREL BREWING COMPANY PUB ICE FRUIT PUNCH,HARTFORD DISTRIBUTORS INC,LIW.0000505
LBD.0212293,10 BARREL BREWING COMPANY PUB ICE FRUIT PUNCH,"LEVINE DISTRIBUTING CO , LLC",LIW.0000527
LBD.0212294,10 BARREL BREWING COMPANY PUB ICE SCREWDRIVER,DICHELLO DISTRIBUTORS INC,LIW.0000516
LBD.0212294,10 BARREL BREWING COMPANY PUB ICE SCREWDRIVER,HARTFORD DISTRIBUTORS INC,LIW.0000505
LBD.0212294,10 BARREL BREWING COMPANY PUB ICE SCREWDRIVER,"LEVINE DISTRIBUTING CO , LLC",LIW.0000527
LBD.0144692,10 BARREL TRAIL BEER,DICHELLO DISTRIBUTORS INC,LIW.0000516
LBD.0144692,10 BARREL TRAIL BEER,HARTFORD DISTRIBUTORS INC,LIW.0000505
LBD.0144692,10 BARREL TRAIL BEER,"LEVINE DISTRIBUTING CO , LLC",LIW.0000527
LBD.0174135,10 MILE BRIDGE RED,OLDE & NEW WORLD INC,LIW.0000706
LBD.0127053,10 MILE BRIDGE WHITE,OLDE & NEW WORLD INC,LIW.0000706
LBD.0077243,100 ANOS ANEJO 100% AGAVE,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
LBD.0077243,100 ANOS ANEJO 100% AGAVE,BRESCOME BARTON INC,LIW.0000506
LBD.0057994,100 ANOS BLANCO,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
LBD.0057994,100 ANOS BLANCO,BRESCOME BARTON INC,LIW.0000506
LBD.0043703,100 ANOS REPOSADO,BRESCOME BARTON INC,LIW.0000506
LBD.0043703,100 ANOS REPOSADO,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
LBD.0170194,100 SEASONS LIGHT WHISKEY,MSW CT LLC,LIW.0000594
LBD.0170194,100 SEASONS LIGHT WHISKEY,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
LBD.0200198,1000 STORIES AMERICAN BARREL - AGED CHARDONNAY CALIFORNIA,BRESCOME BARTON INC,LIW.0000506
LBD.0148833,1000 STORIES CABERNET SAUVIGNON CALIFORNIA,BRESCOME BARTON INC,LIW.0000506
LBD.0151045,1000 STORIES CABERNET SAUVIGNON PROSPECTORS' PROOF CALIFORNIA,BRESCOME BARTON INC,LIW.0000506
LBD.0161124,1000 STORIES CHARDONNAY CALIFORNIA,BRESCOME BARTON INC,LIW.0000506
LBD.0220065,1000 STORIES HIGH ALCOHOL CABERNET SAUVIGNON,BRESCOME BARTON INC,LIW.0000506
LBD.0189195,1000 STORIES PINOT NOIR CALIFORNIA,BRESCOME BARTON INC,LIW.0000506
LBD.0127645,1000 STORIES RED BLEND GOLD RUSH RED CALIFORNIA,BRESCOME BARTON INC,LIW.0000506
LBD.0199105,1000 STORIES SAUVIGNON BLANC CALIFORNIA,BRESCOME BARTON INC,LIW.0000506
LBD.0229943,1000 STORIES SAUVIGNON BLANC MAJESTIC,BRESCOME BARTON INC,LIW.0000506
LBD.0110620,1000 STORIES ZINFANDEL CALIFORNIA,BRESCOME BARTON INC,LIW.0000506
LBD.0175093,101 NORTH CABERNET SAUVIGNON,"LEVINE DISTRIBUTING CO , LLC",LIW.0000527
LBD.0175093,101 NORTH CABERNET SAUVIGNON,DICHELLO DISTRIBUTORS INC,LIW.0000516
LBD.0175093,101 NORTH CABERNET SAUVIGNON,HARTFORD DISTRIBUTORS INC,LIW.0000505
LBD.0175094,101 NORTH CHARDONNAY,"LEVINE DISTRIBUTING CO , LLC",LIW.0000527
LBD.0175094,101 NORTH CHARDONNAY,DICHELLO DISTRIBUTORS INC,LIW.0000516
LBD.0175094,101 NORTH CHARDONNAY,HARTFORD DISTRIBUTORS INC,LIW.0000505
LBD.0175095,101 NORTH MOSCATO,"LEVINE DISTRIBUTING CO , LLC",LIW.0000527
LBD.0175095,101 NORTH MOSCATO,DICHELLO DISTRIBUTORS INC,LIW.0000516
LBD.0175095,101 NORTH MOSCATO,HARTFORD DISTRIBUTORS INC,LIW.0000505
LBD.0175096,101 NORTH PINOT GRIGIO,"LEVINE DISTRIBUTING CO , LLC",LIW.0000527
LBD.0175096,101 NORTH PINOT GRIGIO,DICHELLO DISTRIBUTORS INC,LIW.0000516
LBD.0175096,101 NORTH PINOT GRIGIO,HARTFORD DISTRIBUTORS INC,LIW.0000505
LBD.0175559,101 NORTH ROSE',"LEVINE DISTRIBUTING CO , LLC",LIW.0000527
LBD.0175559,101 NORTH ROSE',DICHELLO DISTRIBUTORS INC,LIW.0000516
LBD.0175559,101 NORTH ROSE',HARTFORD DISTRIBUTORS INC,LIW.0000505
LBD.0228726,1010 CLASSIC MOJITO,ACE DISTRIBUTING LLC,LIW.0000580
LBD.0228725,1010 MANGO COLADA,ACE DISTRIBUTING LLC,LIW.0000580
LBD.0228724,1010 PINA COLADA,ACE DISTRIBUTING LLC,LIW.0000580
LBD.0208022,11 POUNDERS,SARENE CRAFT BEER DISTRIBUTORS OF CONNECTICUT LLC,LIW.0000696
LBD.0192970,111 RED BLEND,TRI-VIN IMPORTS INC,LIW.0000708
LBD.0234455,11TH ANNIVERSARY SODO STEEL IPA,SARENE CRAFT BEER DISTRIBUTORS OF CONNECTICUT LLC,LIW.0000696
LBD.0139454,12 E MEZZO CHARDONNAY ORGANIC,BRESCOME BARTON INC,LIW.0000506
LBD.0139455,12 E MEZZO PRIMITIVO ORGANIC,BRESCOME BARTON INC,LIW.0000506
LBD.0126392,12 E MEZZO PRIMITIVO,BRESCOME BARTON INC,LIW.0000506
LBD.0175075,12 KNIGHTS OPULENT RED,"HARTLEY & PARKER, LIMITED, LLC",LIW.0000512
LBD.0193027,12 OUZO,BRESCOME BARTON INC,LIW.0000506
LBD.0193027,12 OUZO,"HARTLEY & PARKER, LIMITED, LLC",LIW.0000512
LBD.0217437,12 POLOTMAVY,G & G BEVERAGE DIST INC,LIW.0000509
LBD.0217437,12 POLOTMAVY,HARTFORD DISTRIBUTORS INC,LIW.0000505
LBD.0216440,123 ORGANIC ANEJO (TRES) TEQUILA,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
LBD.0216438,123 ORGANIC BLANCO (UNO) TEQUILA,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
LBD.0216439,123 ORGANIC REPOSADO (DOS) TEQUILA,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
LBD.0236019,12TH ANNIVERSARY HAZY IPA,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
LBD.0191008,13 RAMS RED WINE LAKE COUNTY,ANGELINI WINE LTD,LIW.0000519
LBD.0207690,13 YEARS CABERNET SAUVIGNON RESERVE SANTA YNEZ VALLEY,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
LBD.0232116,13TH COLONY 113 MAPLE FINISHED RYE,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
LBD.0223091,13TH COLONY 113,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
LBD.0227068,13TH COLONY BARREL AGED GIN,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
LBD.0237090,13TH COLONY BARREL SYMPHONY,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
LBD.0214415,13TH COLONY CASK STRENGTH SOUTHERN BOURBON WHISKEY,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
LBD.0228099,13TH COLONY CASK STRENGTH SOUTHERN RYE WHISKEY,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
LBD.0218751,13TH COLONY DOUBLE OAKED BOURBON WHISKEY,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
LBD.0215844,13TH COLONY SINGLE BARREL BOURBON,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
LBD.0215758,13TH COLONY SINGLE BARREL RYE WHISKEY,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
LBD.0212194,13TH COLONY SOUTHERN BOURBON WHISKEY,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
LBD.0212193,13TH COLONY SOUTHERN GIN,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
LBD.0212195,13TH COLONY SOUTHERN RYE WHISKEY,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
LBD.0212196,13TH COLONY SOUTHERN VODKA,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
LBD.0210687,1420 FINISHED AT SEA BOURBON,MD & S DISTRIBUTORS LLC,LIW.0000724
LBD.0210689,1420 SPECIAL RESERVE,MD & S DISTRIBUTORS LLC,LIW.0000724
LBD.0194424,1420 STRAWBERRY LEMONADE HAZE,MD & S DISTRIBUTORS LLC,LIW.0000724
LBD.0237053,15 STARS FIRST WEST EXPLORER KSBW,INTERWINE INC,LIW.0000513
LBD.0237052,15 STARS FIRST WEST EXTRA AGED KSBW,INTERWINE INC,LIW.0000513
LBD.0219519,15 STARS FIRST WEST RYE WHISKEY,INTERWINE INC,LIW.0000513
LBD.0237051,15 STARS KENTUCKE COUNTY AGED 12 YEARS AMERICAN WHISKEY,INTERWINE INC,LIW.0000513
LBD.0219520,15 STARS PLATINUM BOURBON WHISKEY,INTERWINE INC,LIW.0000513
LBD.0219521,15 STARS PRIVATE STOCK BOURBON WHISKEY,INTERWINE INC,LIW.0000513
LBD.0219518,15 STARS TRIPLE CASK II BOURBON WHISKEY,INTERWINE INC,LIW.0000513
LBD.0128551,1554,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
LBD.0128551,1554,"LEVINE DISTRIBUTING CO , LLC",LIW.0000527
LBD.0226667,1738 ACCORD ROYAL HEART OF COGNAC,BRESCOME BARTON INC,LIW.0000506
LBD.0206631,1741 HARD CIDER,DICHELLO DISTRIBUTORS INC,LIW.0000516
LBD.0206631,1741 HARD CIDER,HARTFORD DISTRIBUTORS INC,LIW.0000505
LBD.0206631,1741 HARD CIDER,THE LYMAN FARM INCORPORATED,LIW.0000736
LBD.0232054,1741 ORCHARD BLUEBERRY,THE LYMAN FARM INCORPORATED,LIW.0000736
LBD.0232054,1741 ORCHARD BLUEBERRY,DICHELLO DISTRIBUTORS INC,LIW.0000516
LBD.0232054,1741 ORCHARD BLUEBERRY,HARTFORD DISTRIBUTORS INC,LIW.0000505
LBD.0178281,1749 PINOT NOIR VIN DE FRANCE,BRESCOME BARTON INC,LIW.0000506
LBD.0119845,1776 STRAIGHT RYE WHISKEY,INTERWINE INC,LIW.0000513
LBD.0158138,1792 AGED 12 YEARS,BRESCOME BARTON INC,LIW.0000506
LBD.0140100,1792 BOTTLED IN BOND,BRESCOME BARTON INC,LIW.0000506
LBD.0225148,1792 BOURBON COGNAC FINISH,BRESCOME BARTON INC,LIW.0000506
LBD.0123763,1792 FULL PROOF,BRESCOME BARTON INC,LIW.0000506
LBD.0128903,1792 HIGH RYE,BRESCOME BARTON INC,LIW.0000506
LBD.0117679,1792 PORT FINISH,BRESCOME BARTON INC,LIW.0000506
LBD.0119626,1792 SINGLE BARREL,BRESCOME BARTON INC,LIW.0000506
LBD.0110542,1792 SMALL BATCH,BRESCOME BARTON INC,LIW.0000506
LBD.0114947,1792 SWEET WHEAT,BRESCOME BARTON INC,LIW.0000506
LBD.0210570,18 WATT IPA,SARENE CRAFT BEER DISTRIBUTORS OF CONNECTICUT LLC,LIW.0000696
LBD.0230309,1800 BLANCO HIGH PROOF,"HARTLEY & PARKER, LIMITED, LLC",LIW.0000512
LBD.0230308,1800 REPOSADO HIGH PROOF,"HARTLEY & PARKER, LIMITED, LLC",LIW.0000512
LBD.0221907,1800 ULTIMATE MARGARITA LIGHT LIME,"HARTLEY & PARKER, LIMITED, LLC",LIW.0000512
LBD.0216017,1853 OLD VINE ESTATE,TRI-VIN IMPORTS INC,LIW.0000708
LBD.0226636,1858 BY CAYMUS VINEYARDS CABERNET SAUVIGNON CALIFORNIA,WINEBOW INC,LIW.0000548
LBD.0226637,1858 BY CAYMUS VINEYARDS ZINFANDEL,WINEBOW INC,LIW.0000548
LBD.0180827,1858 CABERNET SAUVIGNON NAPA RESERVE,WINEBOW INC,LIW.0000548
LBD.0125089,1858 CABERNET SAUVIGNON NAPA VALLEY,WINEBOW INC,LIW.0000548
LBD.0190464,1858 CABERNET SAUVIGNON PASO RESERVE,WINEBOW INC,LIW.0000548
LBD.0145564,1858 CABERNET SAUVIGNON PASO,WINEBOW INC,LIW.0000548
LBD.0193479,1858 CHARDONNAY MONTEREY,WINEBOW INC,LIW.0000548
LBD.0211750,1858 MERLOT CALIFORNIA,WINEBOW INC,LIW.0000548
LBD.0174992,1858 PINOT NOIR MONTEREY,WINEBOW INC,LIW.0000548
LBD.0169428,1858 RED BLEND,WINEBOW INC,LIW.0000548
LBD.0165284,1858 SAUVIGNON BLANC,WINEBOW INC,LIW.0000548
LBD.0224110,1865 SELECTED BLEND MASTER BLEND,"HARTLEY & PARKER, LIMITED, LLC",LIW.0000512
LBD.0224111,1865 SELECTED COLLECTION DESERT VALLEY,"HARTLEY & PARKER, LIMITED, LLC",LIW.0000512
LBD.0224109,1865 SELECTED COLLECTION OLD VINES,"HARTLEY & PARKER, LIMITED, LLC",LIW.0000512
LBD.0187702,1865 SELECTED VINEYARD CABERNET SAUVIGNON,"HARTLEY & PARKER, LIMITED, LLC",LIW.0000512
LBD.0187704,1865 SELECTED VINEYARD CARMENERE D O VALLE DEL MAULE,"HARTLEY & PARKER, LIMITED, LLC",LIW.0000512
LBD.0187703,1865 SELECTED VINEYARD CARMENERE,"HARTLEY & PARKER, LIMITED, LLC",LIW.0000512
LBD.0187706,1865 SELECTED VINEYARD SAUVIGNON BLANC D O VALLE DE LEYDA,"HARTLEY & PARKER, LIMITED, LLC",LIW.0000512
LBD.0187705,1865 SELECTED VINEYARD SAUVIGNON BLANC,"HARTLEY & PARKER, LIMITED, LLC",LIW.0000512
LBD.0187701,1865 SELECTED VINEYARDS CABERNET SAUVIGNON,"HARTLEY & PARKER, LIMITED, LLC",LIW.0000512
LBD.0150869,1883 CABERNET SAUVIGNON CALIFORNIA,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
LBD.0150870,1883 CHARDONNAY CALIFORNIA,CONNECTICUT DISTRIBUTORS INC,LIW.0000532
LBD.0186947,1889 ROYAL BRANDY,WINEBOW INC,LIW.0000548
LBD.0183637,1895 PRIMITIVO DI MANDURIA,JANDELL SELECTIONS LTD,LIW.0000635
LBD.0171188,1895 VERGA LA STORIA MONTEPULCIANO D'ABRUZZO,JANDELL SELECTIONS LTD,LIW.0000635
LBD.0171175,1895 VERGA LA STORIA ROSSO TOSCANA,JANDELL SELECTIONS LTD,LIW.0000635
LBD.0044816,ADEGA DE MONCAO MURAIHAS,OLDE & NEW WORLD INC,LIW.0000706
LBD.0167487,1906 RESERVA SPECIAL,OLDE & NEW WORLD INC,LIW.0000706
LBD.0174093,1911 BLUEBERRY HARD CIDER,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
LBD.0209808,1911 CANDY CORN HARD CIDER,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
LBD.0174058,1911 CIDER DONUT HARD CIDER,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
LBD.0174092,1911 CRANBERRY HARD CIDER,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
LBD.0216943,1911 ESTABLISHED BLACK CHERRY,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
LBD.0216944,1911 ESTABLISHED BLUEBERRY CIDER,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
LBD.0213821,1911 ESTABLISHED BLUEBERRY SPIRIT,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
LBD.0216945,1911 ESTABLISHED CANDY CORN,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
LBD.0216946,1911 ESTABLISHED CHERRY PIE,NORTHEAST BEVERAGE CORP OF CT,LIW.0000518
