BRAND-NAME,CT-REGISTRATION-NUMBER,STATUS,EFFECTIVE,EXPIRATION,OUT-OF-STATE-SHIPPER,SUPERVISOR-CREDENTIAL-,WHOLESALERS
LIBERATED CARBONATED WINE BUBBLY ROSE CA CANNED,LBD.0234867,ACTIVE,02/19/2026 12:00:00 AM,02/18/2029 12:00:00 AM,JACKSON FAMILY ENTERPRISES INC,LSL.0001092,CONNECTICUT DISTRIBUTORS INC (LIW.0000532)
LIBERATED CHARDONNAY CA CANNED,LBD.0234868,ACTIVE,02/19/2026 12:00:00 AM,02/18/2029 12:00:00 AM,JACKSON FAMILY ENTERPRISES INC,LSL.0001092,CONNECTICUT DISTRIBUTORS INC (LIW.0000532)
LICOR 43 ORIGINAL LIQUEUR,LBD.0225259,ACTIVE,04/07/2025 12:00:00 AM,04/06/2028 12:00:00 AM,"PARK STREET IMPORTS, LLC",LSL.0001299,BRESCOME BARTON INC (LIW.0000506)
LOS SUNDAYS JALAPEÑO BLANCO TEQUILA,LBD.0215443,ACTIVE,04/29/2024 12:00:00 AM,04/28/2027 12:00:00 AM,"PARK STREET IMPORTS, LLC",LSL.0001299,"EBER-CONNECTICUT, LLC (LIW.0000596)"
PIZZOLATO CABERNET SAUVIGNON IGT VENETO 0288 12.50%,LBD.0205847,ACTIVE,07/05/2023 12:00:00 AM,07/04/2026 12:00:00 AM,BWSC LLC,LSW.0000870,INTERWINE INC (LIW.0000513)
POSTMARK CABERNET SAUVIGNON PASO ROBLES,LBD.0232050,ACTIVE,10/24/2025 12:00:00 AM,10/23/2028 12:00:00 AM,DUCKHORN WINE COMPANY INC,LSL.0001001,"EBER-CONNECTICUT, LLC (LIW.0000596)"
PRESERVATION DISTILLERY POT STILL WHISKEY,LBD.0233259,ACTIVE,12/19/2025 12:00:00 AM,12/18/2028 12:00:00 AM,MICHAEL SKURNIK WINES INC,LSL.0000812,MSW CT LLC (LIW.0000775)
QUIET QUIVER,LBD.0232084,ACTIVE,10/24/2025 12:00:00 AM,10/23/2028 12:00:00 AM,LITTLE RIVER WINERY LLC,LMW.0000040,
RUBUS RED BLEND VINO DE LA TIERRA DE CASTILLA,LBD.0234152,ACTIVE,01/23/2026 12:00:00 AM,01/22/2029 12:00:00 AM,KYSELA & PERE,LSL.0000689,F &amp; F DISTRIBUTORS INC (LIW.0000504)
SONOMA-CUTRER CHARDONNAY RUSSIAN RIVER VALLEY THE CUTRER,LBD.0232396,ACTIVE,11/06/2025 12:00:00 AM,11/05/2028 12:00:00 AM,DUCKHORN WINE COMPANY INC,LSL.0001001,
TEABIRD ORIGINAL HARD SWEET TEA,LBD.0215062,ACTIVE,04/19/2024 12:00:00 AM,04/18/2027 12:00:00 AM,"PARK STREET IMPORTS, LLC",LSB.0000986,"NORTHEAST BEVERAGE CORP OF CT (LIW.0000518), HARTFORD DISTRIBUTORS INC (LIW.0000505)"
VERY OLDE ST. NICK PRESERVATION BOURBON WHISKEY SUPER FREAK,LBD.0233260,ACTIVE,12/19/2025 12:00:00 AM,12/18/2028 12:00:00 AM,MICHAEL SKURNIK WINES INC,LSL.0000812,MSW CT LLC (LIW.0000775)
WILLETT DISTILLERY  STRAIGHT RYE WHISKEY ESTATE SMALL BATCH 50ML,LBD.0237425,ACTIVE,05/01/2026 12:00:00 AM,04/30/2029 12:00:00 AM,MICHAEL SKURNIK WINES INC,LSL.0000812,MSW CT LLC (LIW.0000775)
WILLETT DISTILLERY  STRAIGHT RYE WHISKEY ESTATE SMALL BATCH,LBD.0237424,ACTIVE,05/01/2026 12:00:00 AM,04/30/2029 12:00:00 AM,MICHAEL SKURNIK WINES INC,LSL.0000812,MSW CT LLC (LIW.0000775)
WILLETT DISTILLERY POT STILL RESERVE STRAIGHT BOURBON WHISKEY,LBD.0237423,ACTIVE,05/01/2026 12:00:00 AM,04/30/2029 12:00:00 AM,MICHAEL SKURNIK WINES INC,LSL.0000812,MSW CT LLC (LIW.0000775)
"DOMAINE LES ASTRELLES, BOURGOGNE, PASSE-TOUT-GRAINS LA RIOTTE",LBD.0233052,ACTIVE,12/09/2025 12:00:00 AM,12/08/2028 12:00:00 AM,VINEYARD BRANDS LLC,LSL.0000558,BRESCOME BARTON INC (LIW.0000506)
#ADULTING,LBD.0128591,ACTIVE,09/18/2025 12:00:00 AM,09/16/2028 12:00:00 AM,BOWEN HAYWARD GROUP LLC,LSB.0000925,"G &amp; G BEVERAGE DIST  INC (LIW.0000509), NORTHEAST BEVERAGE CORP OF CT (LIW.0000518)"
#GVLTAT,LBD.0204784,ACTIVE,06/05/2023 12:00:00 AM,06/04/2026 12:00:00 AM,WEIN-BAUER INC,LSL.0001591,F &amp; F DISTRIBUTORS INC (LIW.0000504)
#LOVEISLOVE,LBD.0211940,ACTIVE,01/18/2024 12:00:00 AM,01/17/2027 12:00:00 AM,BOWEN HAYWARD GROUP LLC,LSB.0000925,"G &amp; G BEVERAGE DIST  INC (LIW.0000509), NORTHEAST BEVERAGE CORP OF CT (LIW.0000518)"
'23 BHEEYO WINE,LBD.0211603,ACTIVE,01/05/2024 12:00:00 AM,01/04/2027 12:00:00 AM,UNICO INC,LSW.0001615,
'23 MONJE WINE,LBD.0211604,ACTIVE,01/05/2024 12:00:00 AM,01/04/2027 12:00:00 AM,UNICO INC,LSW.0001615,
'MERICAN MULE LIGHT MOSCOW MULE,LBD.0215013,ACTIVE,05/14/2024 12:00:00 AM,05/13/2027 12:00:00 AM,HARPOON DISTRIBUTING COMPANY INC,LSL.0002109,STAR DISTRIBUTORS INC (LIW.0000533)
'MERICAN MULE MEXICAN MULE,LBD.0215011,ACTIVE,05/14/2024 12:00:00 AM,05/13/2027 12:00:00 AM,HARPOON DISTRIBUTING COMPANY INC,LSL.0002109,STAR DISTRIBUTORS INC (LIW.0000533)
'MERICAN MULE MOSCOW MULE,LBD.0215009,ACTIVE,05/14/2024 12:00:00 AM,05/13/2027 12:00:00 AM,HARPOON DISTRIBUTING COMPANY INC,LSL.0002109,STAR DISTRIBUTORS INC (LIW.0000533)
'MERICAN MULE SOUTHERN MULE,LBD.0215012,ACTIVE,05/14/2024 12:00:00 AM,05/13/2027 12:00:00 AM,HARPOON DISTRIBUTING COMPANY INC,LSL.0002109,STAR DISTRIBUTORS INC (LIW.0000533)
'MERICAN MULE TROPICAL MULE,LBD.0215010,ACTIVE,05/14/2024 12:00:00 AM,05/13/2027 12:00:00 AM,HARPOON DISTRIBUTING COMPANY INC,LSL.0002109,STAR DISTRIBUTORS INC (LIW.0000533)
(NO) GREEN BEER,LBD.0185308,ACTIVE,01/08/2026 12:00:00 AM,01/07/2029 12:00:00 AM,HUDSON VALLEY BEVERAGE CO INC,LSB.0000933,NORTHEAST BEVERAGE CORP OF CT (LIW.0000518)
- 196 ZERO SUGAR LEMON VODKA SELTZER,LBD.0225068,ACTIVE,04/01/2025 12:00:00 AM,03/31/2028 12:00:00 AM,JIM BEAM BRANDS CO,LSL.0000635,BRESCOME BARTON INC (LIW.0000506)
-196 GRAPEFRUIT & CHERRY,LBD.0232190,ACTIVE,10/31/2025 12:00:00 AM,10/30/2028 12:00:00 AM,JIM BEAM BRANDS CO,LSL.0000635,BRESCOME BARTON INC (LIW.0000506)
-196 GRAPEFRUIT SELTZER 11PF,LBD.0221459,ACTIVE,10/23/2025 12:00:00 AM,10/22/2028 12:00:00 AM,JIM BEAM BRANDS CO,LSL.0000635,BRESCOME BARTON INC (LIW.0000506)
-196 GRAPEFRUIT VODKA SELTZER,LBD.0210321,ACTIVE,11/09/2023 12:00:00 AM,11/08/2026 12:00:00 AM,JIM BEAM BRANDS CO,LSL.0000635,BRESCOME BARTON INC (LIW.0000506)
-196 LEMON AND LIME VODKA SELTZER,LBD.0223116,ACTIVE,10/29/2025 12:00:00 AM,10/28/2028 12:00:00 AM,JIM BEAM BRANDS CO,LSL.0000635,BRESCOME BARTON INC (LIW.0000506)
-196 LEMON AND RASPBERRY VODKA SELTZER,LBD.0223120,ACTIVE,01/22/2025 12:00:00 AM,01/21/2028 12:00:00 AM,JIM BEAM BRANDS CO,LSL.0000635,BRESCOME BARTON INC (LIW.0000506)
-196 LEMON GREEN TEA,LBD.0235334,ACTIVE,03/03/2026 12:00:00 AM,03/02/2029 12:00:00 AM,JIM BEAM BRANDS CO,LSL.0000635,BRESCOME BARTON INC (LIW.0000506)
-196 LEMON SELTZER 11PF,LBD.0221452,ACTIVE,11/05/2024 12:00:00 AM,11/04/2027 12:00:00 AM,JIM BEAM BRANDS CO,LSL.0000635,BRESCOME BARTON INC (LIW.0000506)
-196 LEMON SELTZER TALL BOY,LBD.0228117,ACTIVE,06/27/2025 12:00:00 AM,06/26/2028 12:00:00 AM,JIM BEAM BRANDS CO,LSL.0000635,BRESCOME BARTON INC (LIW.0000506)
-196 LEMON VODKA SELTZER,LBD.0210308,ACTIVE,11/09/2023 12:00:00 AM,11/08/2026 12:00:00 AM,JIM BEAM BRANDS CO,LSL.0000635,BRESCOME BARTON INC (LIW.0000506)
-196 PEACH & MANGO,LBD.0232191,ACTIVE,10/31/2025 12:00:00 AM,10/30/2028 12:00:00 AM,JIM BEAM BRANDS CO,LSL.0000635,BRESCOME BARTON INC (LIW.0000506)
-196 PEACH GREEN TEA,LBD.0235335,ACTIVE,03/03/2026 12:00:00 AM,03/02/2029 12:00:00 AM,JIM BEAM BRANDS CO,LSL.0000635,BRESCOME BARTON INC (LIW.0000506)
-196 PEACH SELTZER 11PF,LBD.0221453,ACTIVE,10/29/2025 12:00:00 AM,10/28/2028 12:00:00 AM,JIM BEAM BRANDS CO,LSL.0000635,BRESCOME BARTON INC (LIW.0000506)
-196 PEACH VODKA SELTZER,LBD.0210315,ACTIVE,11/09/2023 12:00:00 AM,11/08/2026 12:00:00 AM,JIM BEAM BRANDS CO,LSL.0000635,BRESCOME BARTON INC (LIW.0000506)
-196 STRAWBERRY & KIWI,LBD.0232192,ACTIVE,10/31/2025 12:00:00 AM,10/30/2028 12:00:00 AM,JIM BEAM BRANDS CO,LSL.0000635,BRESCOME BARTON INC (LIW.0000506)
-196 STRAWBERRY & PINEAPPLE VODKA SELTZER TALL BOY,LBD.0233107,ACTIVE,12/12/2025 12:00:00 AM,12/11/2028 12:00:00 AM,JIM BEAM BRANDS CO,LSL.0000635,BRESCOME BARTON INC (LIW.0000506)
-196 STRAWBERRY AND PINEAPPLE VODKA SELTZER,LBD.0223121,ACTIVE,10/29/2025 12:00:00 AM,10/28/2028 12:00:00 AM,JIM BEAM BRANDS CO,LSL.0000635,BRESCOME BARTON INC (LIW.0000506)
-196 STRAWBERRY AND WATERMELON VODKA SELTZER,LBD.0223123,ACTIVE,10/29/2025 12:00:00 AM,10/28/2028 12:00:00 AM,JIM BEAM BRANDS CO,LSL.0000635,BRESCOME BARTON INC (LIW.0000506)
-196 STRAWBERRY GREEN TEA,LBD.0235336,ACTIVE,03/03/2026 12:00:00 AM,03/02/2029 12:00:00 AM,JIM BEAM BRANDS CO,LSL.0000635,BRESCOME BARTON INC (LIW.0000506)
-196 STRAWBERRY SELTZER,LBD.0221125,ACTIVE,10/29/2025 12:00:00 AM,10/28/2028 12:00:00 AM,JIM BEAM BRANDS CO,LSL.0000635,BRESCOME BARTON INC (LIW.0000506)
-196 STRAWBERRY VODKA SELTZER TALL BOY,LBD.0233145,ACTIVE,12/12/2025 12:00:00 AM,12/11/2028 12:00:00 AM,JIM BEAM BRANDS CO,LSL.0000635,BRESCOME BARTON INC (LIW.0000506)
-196 YUZU & LEMON,LBD.0232193,ACTIVE,10/31/2025 12:00:00 AM,10/30/2028 12:00:00 AM,JIM BEAM BRANDS CO,LSL.0000635,BRESCOME BARTON INC (LIW.0000506)
-196 YUZU GREEN TEA,LBD.0235337,ACTIVE,03/03/2026 12:00:00 AM,03/02/2029 12:00:00 AM,JIM BEAM BRANDS CO,LSL.0000635,BRESCOME BARTON INC (LIW.0000506)
///FEAR.MOVIE.LIONS,LBD.0144903,ACTIVE,05/15/2024 12:00:00 AM,05/13/2027 12:00:00 AM,STONE BREWING CO LLC,LSB.0000768,NORTHEAST BEVERAGE CORP OF CT (LIW.0000518)
00 WINES EGW CHARDONNAY,LBD.0220598,ACTIVE,10/08/2024 12:00:00 AM,10/07/2027 12:00:00 AM,TEW SHIPPING LLC,LSL.0001191,T EDWARD CONNECTICUT LTD (LIW.0000576)
00 WINES SEVEN SPRINGS CHARDONNAY,LBD.0220599,ACTIVE,10/08/2024 12:00:00 AM,10/07/2027 12:00:00 AM,TEW SHIPPING LLC,LSL.0001191,T EDWARD CONNECTICUT LTD (LIW.0000576)
00 WINES VGR,LBD.0220600,ACTIVE,10/08/2024 12:00:00 AM,10/07/2027 12:00:00 AM,TEW SHIPPING LLC,LSL.0001191,T EDWARD CONNECTICUT LTD (LIW.0000576)
00 WINES VGW CHARDONNAY WILLAMETTE VALLEY,LBD.0185111,ACTIVE,12/01/2024 12:00:00 AM,11/29/2027 12:00:00 AM,TEW SHIPPING LLC,LSL.0001191,T EDWARD CONNECTICUT LTD (LIW.0000576)
001 VINTNERS CABERNET SAUVIGNON,LBD.0214299,ACTIVE,03/25/2024 12:00:00 AM,03/24/2027 12:00:00 AM,001 VINTNERS LLC,LSW.0001793,
001 VINTNERS ECOTONE VINEYARD MERLOT,LBD.0235932,ACTIVE,03/19/2026 12:00:00 AM,03/18/2029 12:00:00 AM,001 VINTNERS LLC,LSW.0001793,
064-SEVEN SEVEN,LBD.0187789,ACTIVE,02/28/2025 12:00:00 AM,02/26/2028 12:00:00 AM,STAPPA VINEYARD LLC,LFW.0000102,
1 BEEN JUICIN',LBD.0149024,ACTIVE,10/08/2024 12:00:00 AM,10/06/2027 12:00:00 AM,TRIBUS BEER CO. LLC,LMB.0001597,
1 DEGREE OF RIESLING,LBD.0166779,ACTIVE,05/17/2026 12:00:00 AM,05/15/2029 12:00:00 AM,THREE BROTHERS WINERIES AND ESTATES LLC,LSW.0001461,
1/1 GRENACHE,LBD.0213472,ACTIVE,03/04/2024 12:00:00 AM,03/03/2027 12:00:00 AM,"SANGUIS, LLC",LSW.0001241,
10 BARREL BREWING CO. PUB BEER,LBD.0215318,ACTIVE,04/25/2024 12:00:00 AM,04/24/2027 12:00:00 AM,"AMERICAN BEVERAGE CRAFTS, LLC",LSB.0001174,"DICHELLO DISTRIBUTORS INC (LIW.0000516), HARTFORD DISTRIBUTORS INC (LIW.0000505), LEVINE DISTRIBUTING CO , LLC (LIW.0000527)"
10 BARREL BREWING CO. PUB CERVEZA,LBD.0215319,ACTIVE,04/25/2024 12:00:00 AM,04/24/2027 12:00:00 AM,"AMERICAN BEVERAGE CRAFTS, LLC",LSB.0001174,"LEVINE DISTRIBUTING CO , LLC (LIW.0000527), DICHELLO DISTRIBUTORS INC (LIW.0000516), HARTFORD DISTRIBUTORS INC (LIW.0000505)"
10 BARREL BREWING CO. PUB ICE ORIGINAL,LBD.0212295,ACTIVE,02/06/2024 12:00:00 AM,02/05/2027 12:00:00 AM,"AMERICAN BEVERAGE CRAFTS, LLC",LSB.0001174,"DICHELLO DISTRIBUTORS INC (LIW.0000516), HARTFORD DISTRIBUTORS INC (LIW.0000505), LEVINE DISTRIBUTING CO , LLC (LIW.0000527)"
10 BARREL BREWING COMPANY PUB ICE FRUIT PUNCH,LBD.0212293,ACTIVE,02/06/2024 12:00:00 AM,02/05/2027 12:00:00 AM,"AMERICAN BEVERAGE CRAFTS, LLC",LSB.0001174,"DICHELLO DISTRIBUTORS INC (LIW.0000516), HARTFORD DISTRIBUTORS INC (LIW.0000505), LEVINE DISTRIBUTING CO , LLC (LIW.0000527)"
10 BARREL BREWING COMPANY PUB ICE SCREWDRIVER,LBD.0212294,ACTIVE,02/06/2024 12:00:00 AM,02/05/2027 12:00:00 AM,"AMERICAN BEVERAGE CRAFTS, LLC",LSB.0001174,"DICHELLO DISTRIBUTORS INC (LIW.0000516), HARTFORD DISTRIBUTORS INC (LIW.0000505), LEVINE DISTRIBUTING CO , LLC (LIW.0000527)"
10 BARREL TRAIL BEER,LBD.0144692,ACTIVE,05/10/2024 12:00:00 AM,05/08/2027 12:00:00 AM,ANHEUSER BUSCH LLC,LSB.0000832,"DICHELLO DISTRIBUTORS INC (LIW.0000516), HARTFORD DISTRIBUTORS INC (LIW.0000505), LEVINE DISTRIBUTING CO , LLC (LIW.0000527)"
10 MILE BRIDGE RED,LBD.0174135,ACTIVE,01/27/2024 12:00:00 AM,01/25/2027 12:00:00 AM,OLDE WORLD IMPORTS INC,LSL.0000974,OLDE &amp; NEW WORLD INC (LIW.0000706)
10 MILE BRIDGE WHITE,LBD.0127053,ACTIVE,07/25/2025 12:00:00 AM,07/23/2028 12:00:00 AM,OLDE WORLD IMPORTS INC,LSL.0000974,OLDE &amp; NEW WORLD INC (LIW.0000706)
100 ANOS ANEJO 100% AGAVE,LBD.0077243,ACTIVE,04/08/2024 12:00:00 AM,04/06/2027 12:00:00 AM,JIM BEAM BRANDS CO,LSL.0000635,"CONNECTICUT DISTRIBUTORS INC (LIW.0000532), BRESCOME BARTON INC (LIW.0000506)"
100 ANOS BLANCO,LBD.0057994,ACTIVE,01/21/2025 12:00:00 AM,01/19/2028 12:00:00 AM,JIM BEAM BRANDS CO,LSL.0000635,"CONNECTICUT DISTRIBUTORS INC (LIW.0000532), BRESCOME BARTON INC (LIW.0000506)"
100 ANOS REPOSADO,LBD.0043703,ACTIVE,01/21/2025 12:00:00 AM,01/19/2028 12:00:00 AM,JIM BEAM BRANDS CO,LSL.0000635,"BRESCOME BARTON INC (LIW.0000506), CONNECTICUT DISTRIBUTORS INC (LIW.0000532)"
